Protein	FilterMatch	RegEx
D4N7D5_9CREN	nitrite reductase	nitrite reductase
D4N7D6_9CREN	nitrite reductase	nitrite reductase
D4N7E1_9CREN	nitrite reductase	nitrite reductase
D4N7E6_9CREN	nitrite reductase	nitrite reductase
D6Q1F8_9ARCH	AmoA; Flags: Fragment; Accession=D6Q1F8; [uncultured ammonia-oxidizing	\bamoA\b.+oxidizing\b
D6Q1F9_9ARCH	AmoA; Flags: Fragment; Accession=D6Q1F9; [uncultured ammonia-oxidizing	\bamoA\b.+oxidizing\b
D6Q1G0_9ARCH	AmoA; Flags: Fragment; Accession=D6Q1G0; [uncultured ammonia-oxidizing	\bamoA\b.+oxidizing\b
D6Q1G1_9ARCH	AmoA; Flags: Fragment; Accession=D6Q1G1; [uncultured ammonia-oxidizing	\bamoA\b.+oxidizing\b
D6Q1G2_9ARCH	AmoA; Flags: Fragment; Accession=D6Q1G2; [uncultured ammonia-oxidizing	\bamoA\b.+oxidizing\b
D6Q1G3_9ARCH	AmoA; Flags: Fragment; Accession=D6Q1G3; [uncultured ammonia-oxidizing	\bamoA\b.+oxidizing\b
D6Q1G4_9ARCH	AmoA; Flags: Fragment; Accession=D6Q1G4; [uncultured ammonia-oxidizing	\bamoA\b.+oxidizing\b
D6Q1G5_9ARCH	AmoA; Flags: Fragment; Accession=D6Q1G5; [uncultured ammonia-oxidizing	\bamoA\b.+oxidizing\b
D6Q1G6_9ARCH	AmoA; Flags: Fragment; Accession=D6Q1G6; [uncultured ammonia-oxidizing	\bamoA\b.+oxidizing\b
D6Q1G7_9ARCH	AmoA; Flags: Fragment; Accession=D6Q1G7; [uncultured ammonia-oxidizing	\bamoA\b.+oxidizing\b
D6Q1G8_9ARCH	AmoA; Flags: Fragment; Accession=D6Q1G8; [uncultured ammonia-oxidizing	\bamoA\b.+oxidizing\b
E7QUX2_9EURY	nitrite reductase	nitrite reductase
E7QWL6_9EURY	nitrite reductase	nitrite reductase
G0QB11_9EURY	nitrite reductase	nitrite reductase
G0QEW0_9EURY	nitrite reductase	nitrite reductase
G0WKU9_9CREN	nitrite reductase	nitrite reductase
G0WKV0_9CREN	nitrite reductase	nitrite reductase
G0WKV1_9CREN	nitrite reductase	nitrite reductase
G0WKV2_9CREN	nitrite reductase	nitrite reductase
G0WKV3_9CREN	nitrite reductase	nitrite reductase
G0WKV4_9CREN	nitrite reductase	nitrite reductase
G0WKV5_9CREN	nitrite reductase	nitrite reductase
G0WKV6_9CREN	nitrite reductase	nitrite reductase
G0WKV7_9CREN	nitrite reductase	nitrite reductase
G0WKV8_9CREN	nitrite reductase	nitrite reductase
G0WKV9_9CREN	nitrite reductase	nitrite reductase
G0WKW0_9CREN	nitrite reductase	nitrite reductase
G0WKW1_9CREN	nitrite reductase	nitrite reductase
G0WKW2_9CREN	nitrite reductase	nitrite reductase
G0WKW3_9CREN	nitrite reductase	nitrite reductase
G0WKW4_9CREN	nitrite reductase	nitrite reductase
G0WKW5_9CREN	nitrite reductase	nitrite reductase
G8DCN4_9ARCH	nitrite reductase	nitrite reductase
G8DCN5_9ARCH	nitrite reductase	nitrite reductase
G8DCN6_9ARCH	nitrite reductase	nitrite reductase
H2C1R9_9CREN	nitrite reductase	nitrite reductase
H2C2R3_9CREN	nitrite reductase	nitrite reductase
H2C4B9_9CREN	nitrite reductase	nitrite reductase
H2C4F9_9CREN	nitrite reductase	nitrite reductase
H2C9J3_9CREN	nitrite reductase	nitrite reductase
